userid,starttime,endtime,wall_clock_s,queue_s,exec_s,querytxt,aborted
276,2026-05-06 08:26:57.497481,2026-05-06 08:37:26.833095,629.336,0.000,629.333,"create table #_1d_node as select x.power_market_id, date_trunc('day', t.date_time_utc at time zone pm.locale) as local_date, x.node_id, avg(x.avg_locational_price) as avg_locational_price, avg(x.avg_settlement_point_price) as avg_settlement_point_price, avg(x.avg_hub_node_delta) as avg_hub_node_delta from historic._1h_node x inner join historic.time t on t.date_time_utc = x.date_time_utc inner join historic.power_market pm on pm.id = x.power_market_id group by 1, 2, 3 having max(x.last_update_time) >= '2026-05-04 06:22:14'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",0
276,2026-05-06 07:58:26.418968,2026-05-06 08:08:36.536347,610.118,0.081,610.034,"create table #_1d_node as select x.power_market_id, date_trunc('day', t.date_time_utc at time zone pm.locale) as local_date, x.node_id, avg(x.avg_locational_price) as avg_locational_price, avg(x.avg_settlement_point_price) as avg_settlement_point_price, avg(x.avg_hub_node_delta) as avg_hub_node_delta from historic._1h_node x inner join historic.time t on t.date_time_utc = x.date_time_utc inner join historic.power_market pm on pm.id = x.power_market_id group by 1, 2, 3 having max(x.last_update_time) >= '2026-05-04 06:22:14'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",0
276,2026-05-06 07:44:11.088444,2026-05-06 07:54:07.738904,596.650,0.842,595.806,"create table #_1d_node as select x.power_market_id, date_trunc('day', t.date_time_utc at time zone pm.locale) as local_date, x.node_id, avg(x.avg_locational_price) as avg_locational_price, avg(x.avg_settlement_point_price) as avg_settlement_point_price, avg(x.avg_hub_node_delta) as avg_hub_node_delta from historic._1h_node x inner join historic.time t on t.date_time_utc = x.date_time_utc inner join historic.power_market pm on pm.id = x.power_market_id group by 1, 2, 3 having max(x.last_update_time) >= '2026-05-04 06:22:14'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",0
276,2026-05-06 08:12:43.269077,2026-05-06 08:22:21.231046,577.962,0.025,577.935,"create table #_1d_node as select x.power_market_id, date_trunc('day', t.date_time_utc at time zone pm.locale) as local_date, x.node_id, avg(x.avg_locational_price) as avg_locational_price, avg(x.avg_settlement_point_price) as avg_settlement_point_price, avg(x.avg_hub_node_delta) as avg_hub_node_delta from historic._1h_node x inner join historic.time t on t.date_time_utc = x.date_time_utc inner join historic.power_market pm on pm.id = x.power_market_id group by 1, 2, 3 having max(x.last_update_time) >= '2026-05-04 06:22:14'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",0
1043,2026-05-06 08:28:17.485036,2026-05-06 08:35:43.523943,446.038,0.000,445.981,"SELECT s.scenario, s.description, t.date, p.plant, n.nodefullname, te.technology, yp.srmc, yp.capturedprice, yp.CapturePricePreCurtailment, yn.baseloadprice -- yp.PlantNegativePriceHours FROM yearlyplantfinance as yp INNER JOIN scenarios s ON s.id = yp.scenarioid INNER JOIN time t on t.id = yp.timeid INNER JOIN plants p on p.id = yp.plantid INNER JOIN technologies te on te.id = p.technologyid INNER JOIN nodes n on n.id = p.nodeid inner join yearlynode yn on yn.nodeid = p.nodeid WHERE scenario = 'RWE Nodal_base case_v03_troubleshoot1' --nodal scenario and n.nodefullname IN ('Samcheonpo_GN','Singoseong_GN') GROUP BY 1,2,3,4,5,6,7,8,9,10 order by 1,2,3,4,5,6,7,8,9,10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",0
1043,2026-05-06 08:10:57.533645,2026-05-06 08:17:59.631221,422.098,0.000,421.978,"SELECT s.scenario, s.description, t.date, p.plant, n.nodefullname, te.technology, yp.srmc, yp.capturedprice, yp.CapturePricePreCurtailment, yn.baseloadprice -- yp.PlantNegativePriceHours FROM yearlyplantfinance as yp INNER JOIN scenarios s ON s.id = yp.scenarioid INNER JOIN time t on t.id = yp.timeid INNER JOIN plants p on p.id = yp.plantid INNER JOIN technologies te on te.id = p.technologyid INNER JOIN nodes n on n.id = p.nodeid inner join yearlynode yn on yn.nodeid = p.nodeid WHERE scenario IN ('RWE Nodal_base case_v03_troubleshoot1','RWE Nodal_sensitivity case_v03_troubleshoot') --nodal scenario and n.nodefullname IN ('Samcheonpo_GN','Singoseong_GN') GROUP BY 1,2,3,4,5,6,7,8,9,10 order by 1,2,3,4,5,6,7,8,9,10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",1
499,2026-05-06 07:50:38.829671,2026-05-06 07:55:09.851771,271.022,1.861,269.159," unload( ' select n1h.node_id as node_id, to_char( n1h.date_time_utc, ''YYYY-MM-dd HH24:MI:SS'' ) as ""date_time_utc"", n.name as ""node"", round(n1h.avg_locational_price, 2) as ""hourly price, usd/mwh"", round(n1h.avg_hub_node_delta, 2) as ""hourly basis, usd/mwh"" from historic._1h_node n1h inner join historic.nodes n on n1h.node_id = n.id inner join historic.regions r on n.region_id = r.id inner join historic.power_market pm on n1h.power_market_id = pm.id where pm.code=''CAS-TH'' and extract(year from n1h.date_time_utc) = 2026 order by 1,2,3 ' ) to 's3://aer-eos-data-downloader-production/working/v1/files/2026_cas_node_1h_' credentials '' csv partition by (node_id) gzip header parallel on allowoverwrite;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",0
499,2026-05-06 08:04:43.843688,2026-05-06 08:09:09.798062,265.955,0.000,265.952," unload( ' select n1h.node_id as node_id, to_char( n1h.date_time_utc, ''YYYY-MM-dd HH24:MI:SS'' ) as ""date_time_utc"", n.name as ""node"", round(n1h.avg_settlement_point_price, 2) as ""hourly price, usd/mwh"", round(n1h.avg_hub_node_delta, 2) as ""hourly basis, usd/mwh"" from historic._1h_node n1h inner join historic.nodes n on n1h.node_id = n.id inner join historic.regions r on n.region_id = r.id inner join historic.power_market pm on n1h.power_market_id = pm.id where pm.code=''ERC'' and extract(year from n1h.date_time_utc) = 2026 order by 1,2,3 ' ) to 's3://aer-eos-data-downloader-production/working/v1/files/2026_erc_node_1h_' credentials '' csv partition by (node_id) gzip header parallel on allowoverwrite;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",0
276,2026-05-06 08:29:08.421501,2026-05-06 08:33:07.116170,238.695,0.000,238.680,"CREATE TEMPORARY TABLE partitioning AS SELECT extract(YEAR FROM x.date_time_utc at TIME zone 'UTC' at TIME zone pm.locale)::INT AS partition_year, pm.code AS power_market_code, max(x.last_update_time) AS last_update_time FROM historic._1h_node x JOIN historic.power_market pm ON x.power_market_id = pm.id WHERE pm.code = 'PJM' GROUP BY 1, 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",0
276,2026-05-06 08:29:17.401860,2026-05-06 08:33:07.207644,229.806,0.000,229.783,"CREATE TEMPORARY TABLE partitioning AS SELECT extract(YEAR FROM x.date_time_utc at TIME zone 'UTC' at TIME zone pm.locale)::INT AS partition_year, pm.code AS power_market_code, max(x.last_update_time) AS last_update_time FROM historic._1h_node x JOIN historic.power_market pm ON x.power_market_id = pm.id WHERE pm.code = 'PJM' GROUP BY 1, 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",0
